bot,total_profit,avg_profit,median_profit,max_profit,avg_victim_amount,attack_count,bot_short
0x01fdc48ba0903bb1ae7c517c9287d88ea236f8e1,20682.26,4136.45,3037.86,5784.34,12489.66,5,0x01fdc4...36f8e1
0x03588d14a7aff8a566afd539a4b44cdecca00fdb,57163.39,2858.17,1223.82,9864.03,18969.07,20,0x03588d...a00fdb
0x0906a879ea0f66e3559f11b25b866dba247f9e63,118059.07,5621.86,2088.56,36318.89,59813.2,21,0x0906a8...7f9e63
0x1f2f10d1c40777ae1da742455c65828ff36df387,3368507.19,20415.2,762.54,285812.38,90875.07,165,0x1f2f10...6df387
0x3ee92cd00993a4488ae153ab41ac7947cbcbc1de,235.02,235.02,235.02,235.02,7646.33,1,0x3ee92c...cbc1de
0x420cafeaa7a2e44a404340397ac45b2f55fc8f73,14.72,14.72,14.72,14.72,5633.29,1,0x420caf...fc8f73
0x5592bbc09eb109094a9a14b9344c1ca2719c4c64,1372942.54,228823.76,99094.46,564239.38,72621.79,6,0x5592bb...9c4c64
0x5814fc20f0e09114503569ed6b27a4a86c9f8de4,28457.21,5691.44,2349.49,12612.5,21609.36,5,0x5814fc...9f8de4
0x654fae4aa229d104cabead47e56703f58b174be4,2926.44,2926.44,2926.44,2926.44,45043.91,1,0x654fae...174be4
0xa462d9acaccb141ce7f17213b95198fe248c27a1,1330.75,665.37,665.37,665.37,5744.96,2,0xa462d9...8c27a1
0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,719.51,239.84,308.08,308.08,18717.04,3,0xae2fc4...1fae13
0xb0cff9b85de26ba01c3e92e756fa0f19c98b37ab,186.75,186.75,186.75,186.75,5663.56,1,0xb0cff9...8b37ab
0xb5dc0a1c9fc1cf334e0d81d773638a277c2ead7d,1206.82,1206.82,1206.82,1206.82,6418.58,1,0xb5dc0a...2ead7d
0xc1af6f33498692e230b3e6f31a73aeaf0ad0ca3c,27338.42,2102.96,272.55,12030.43,11405.35,13,0xc1af6f...d0ca3c
0xe00456d3af6e9b8715a9c29c88c1932983e064c1,8263.0,8263.0,8263.0,8263.0,20005.9,1,0xe00456...e064c1
